,Count,RMSE,R2,Bias
0,128,32.31,0.57,-4.07
1,128,34.69,0.51,-0.73
2,128,35.68,0.48,-10.73
3,128,34.98,0.5,-7.59
4,128,31.3,0.6,-2.38
5,128,34.13,0.52,-7.42
6,128,36.14,0.47,-5.69
7,128,34.05,0.53,-5.46
8,128,34.52,0.51,-2.05
9,128,36.06,0.47,-2.95
10,128,34.08,0.52,-6.82
11,128,33.8,0.53,-0.59
12,128,38.56,0.39,-9.18
13,128,33.53,0.54,-1.63
14,128,34.73,0.51,-6.82
15,128,33.63,0.54,-1.89
16,128,36.03,0.47,-1.08
17,128,37.21,0.43,-4.21
18,128,37.99,0.41,-7.32
19,128,35.33,0.49,-3.05
