,Count,RMSE,R2,Bias
0,842,20.46,0.5,3.57
1,842,19.54,0.55,2.32
2,842,19.3,0.56,2.25
3,842,20.63,0.49,2.28
4,842,19.35,0.56,1.06
5,842,19.42,0.55,-0.17
6,842,18.24,0.61,1.87
7,842,19.63,0.54,1.08
8,842,19.44,0.55,0.88
9,842,19.12,0.57,3.02
10,842,19.01,0.57,0.91
11,842,19.13,0.57,-0.11
12,842,19.84,0.53,4.59
13,842,21.03,0.48,1.95
14,842,19.38,0.55,1.27
15,842,19.25,0.56,1.44
16,842,19.71,0.54,2.14
17,842,19.31,0.56,0.94
18,842,19.84,0.53,0.86
19,842,20.62,0.5,2.44
