,Count,RMSE,R2,Bias
0,128,32.87,0.56,-1.32
1,128,32.25,0.57,-4.17
2,128,32.36,0.57,-7.37
3,128,31.91,0.58,-6.62
4,128,29.47,0.64,-6.48
5,128,30.33,0.62,-5.33
6,128,32.97,0.56,-2.6
7,128,31.65,0.59,-4.27
8,128,33.32,0.55,0.51
9,128,31.91,0.58,-1.35
10,128,34.32,0.52,-0.08
11,128,30.8,0.61,-1.8
12,128,34.16,0.52,-9.15
13,128,31.0,0.61,-4.52
14,128,32.17,0.58,-5.29
15,128,30.15,0.63,-7.85
16,128,34.7,0.51,-4.73
17,128,32.64,0.56,-5.74
18,128,34.67,0.51,-2.57
19,128,31.34,0.6,-3.68
