,Count,RMSE,R2,Bias
0,128,30.92,0.61,-1.31
1,128,35.04,0.5,-1.03
2,128,37.4,0.43,-11.07
3,128,33.1,0.55,-4.23
4,128,30.1,0.63,-2.07
5,128,32.06,0.58,-4.35
6,128,38.48,0.39,-7.75
7,128,32.2,0.58,-0.72
8,128,34.8,0.5,-1.7
9,128,34.89,0.5,-2.62
10,128,33.62,0.54,-0.54
11,128,32.11,0.58,-1.1
12,128,34.68,0.51,-6.59
13,128,34.29,0.52,-1.12
14,128,34.21,0.52,-4.13
15,128,33.97,0.53,-3.91
16,128,35.11,0.5,-0.34
17,128,34.9,0.5,-0.36
18,128,43.91,0.21,-13.34
19,128,32.73,0.56,0.81
