,Count,RMSE,R2,Bias
0,842,19.66,0.54,3.68
1,842,19.88,0.53,3.34
2,842,19.79,0.54,1.54
3,842,21.18,0.47,3.06
4,842,19.57,0.55,1.67
5,842,19.12,0.57,0.61
6,842,19.21,0.56,2.39
7,842,19.36,0.56,1.28
8,842,19.35,0.56,1.45
9,842,19.15,0.56,3.34
10,842,19.32,0.56,3.07
11,842,19.55,0.55,0.21
12,842,19.9,0.53,3.74
13,842,21.24,0.46,3.44
14,842,19.74,0.54,1.14
15,842,20.64,0.49,3.51
16,842,18.63,0.59,2.12
17,842,18.98,0.57,3.6
18,842,20.25,0.51,2.12
19,842,21.36,0.46,2.86
