,Count,RMSE,R2,Bias
0,842,18.62,0.59,5.0
1,842,18.85,0.58,2.85
2,842,18.8,0.58,1.83
3,842,19.91,0.53,3.14
4,842,18.15,0.61,0.51
5,842,18.59,0.59,0.53
6,842,17.83,0.62,1.65
7,842,18.49,0.59,1.92
8,842,18.22,0.61,1.63
9,842,18.36,0.6,3.33
10,842,18.4,0.6,1.67
11,842,18.2,0.61,1.61
12,842,19.59,0.54,3.76
13,842,20.0,0.53,3.92
14,842,18.42,0.6,1.47
15,842,18.88,0.58,2.38
16,842,18.05,0.61,1.97
17,842,18.03,0.61,3.62
18,842,18.78,0.58,1.37
19,842,20.18,0.52,3.25
