,Count,RMSE,R2,Bias
0,842,19.67,0.54,4.6
1,842,19.45,0.55,2.86
2,842,18.84,0.58,1.0
3,842,21.28,0.46,3.46
4,842,18.61,0.59,1.12
5,842,19.04,0.57,1.69
6,842,18.19,0.61,2.07
7,842,19.12,0.57,1.77
8,842,18.53,0.59,1.29
9,842,20.83,0.48,5.01
10,842,19.16,0.56,1.03
11,842,19.55,0.55,2.37
12,842,20.26,0.51,3.53
13,842,20.1,0.52,2.95
14,842,19.71,0.54,2.12
15,842,20.36,0.51,1.8
16,842,18.65,0.59,1.37
17,842,19.16,0.56,3.79
18,842,18.78,0.58,1.22
19,842,20.73,0.49,3.41
