,Count,RMSE,R2,Bias
0,842,18.6,0.59,4.97
1,842,18.9,0.58,2.59
2,842,18.9,0.58,1.6
3,842,19.74,0.54,2.69
4,842,18.23,0.61,0.45
5,842,18.53,0.59,0.42
6,842,17.69,0.63,1.38
7,842,18.36,0.6,1.71
8,842,18.19,0.61,1.47
9,842,18.09,0.61,3.04
10,842,18.46,0.6,1.48
11,842,18.1,0.61,1.34
12,842,19.44,0.55,3.64
13,842,19.9,0.53,3.42
14,842,18.25,0.6,1.13
15,842,18.8,0.58,2.22
16,842,17.99,0.62,1.82
17,842,17.9,0.62,3.14
18,842,18.66,0.59,1.35
19,842,20.16,0.52,2.91
