,Count,RMSE,R2,Bias
0,842,21.27,0.46,3.84
1,842,20.35,0.51,2.25
2,842,20.01,0.52,1.72
3,842,20.95,0.48,1.66
4,842,19.84,0.53,2.06
5,842,19.52,0.55,1.03
6,842,19.37,0.55,2.6
7,842,20.28,0.51,0.22
8,842,18.87,0.58,2.51
9,842,21.25,0.46,6.19
10,842,20.46,0.5,2.4
11,842,20.06,0.52,1.77
12,842,20.99,0.48,5.56
13,842,22.18,0.42,1.61
14,842,20.99,0.48,1.44
15,842,20.83,0.49,2.21
16,842,20.35,0.51,1.71
17,842,20.79,0.49,0.03
18,842,20.13,0.52,1.66
19,842,21.62,0.45,2.09
