,Count,RMSE,R2,Bias
0,842,20.35,0.51,4.31
1,842,19.53,0.55,2.08
2,842,19.25,0.56,0.36
3,842,21.27,0.46,3.33
4,842,20.22,0.51,0.54
5,842,20.32,0.51,1.56
6,842,19.19,0.56,1.33
7,842,19.13,0.57,2.61
8,842,18.22,0.61,0.6
9,842,20.97,0.48,3.18
10,842,19.15,0.56,0.88
11,842,19.38,0.55,0.44
12,842,20.52,0.5,2.98
13,842,21.62,0.45,4.14
14,842,19.72,0.54,1.79
15,842,21.1,0.47,2.17
16,842,19.16,0.56,1.06
17,842,19.99,0.53,3.21
18,842,19.7,0.54,0.48
19,842,21.48,0.45,3.57
