,Count,RMSE,R2,Bias
0,842,21.41,0.46,0.27
1,842,20.85,0.48,-0.08
2,842,21.15,0.47,-0.87
3,842,23.34,0.35,-1.05
4,842,22.69,0.39,-0.3
5,842,21.21,0.47,-0.92
6,842,20.54,0.5,1.08
7,842,23.77,0.33,-1.53
8,842,21.59,0.45,0.46
9,842,21.32,0.46,1.18
10,842,20.82,0.49,1.16
11,842,22.85,0.38,-2.16
12,842,21.06,0.47,2.49
13,842,23.49,0.35,-1.06
14,842,20.8,0.49,-1.22
15,842,21.17,0.47,1.28
16,842,22.49,0.4,-0.52
17,842,21.65,0.44,-2.24
18,842,22.0,0.43,2.23
19,842,22.06,0.42,1.68
