,Count,RMSE,R2,Bias
0,842,21.13,0.47,2.47
1,842,20.7,0.49,0.9
2,842,19.15,0.56,-0.28
3,842,21.5,0.45,0.4
4,842,20.37,0.51,0.07
5,842,19.25,0.56,1.3
6,842,18.93,0.57,1.28
7,842,20.85,0.48,-0.46
8,842,18.78,0.58,0.37
9,842,21.02,0.48,4.87
10,842,18.88,0.58,1.26
11,842,20.8,0.49,-0.2
12,842,21.26,0.46,5.07
13,842,22.33,0.41,-0.3
14,842,20.0,0.53,0.91
15,842,20.84,0.48,0.88
16,842,20.74,0.49,0.21
17,842,20.5,0.5,-1.06
18,842,19.38,0.55,1.52
19,842,21.73,0.44,1.76
